inst#,actual,predicted,error,prediction
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966
1,1:normal,1:normal,,0.99999966
2,1:normal,1:normal,,0.99999966
3,1:normal,1:normal,,0.99999966
4,1:normal,1:normal,,0.99999966
5,1:normal,1:normal,,0.99999966
6,1:normal,1:normal,,0.99999966
7,1:normal,1:normal,,0.99999966
8,1:normal,1:normal,,0.99999966
9,1:normal,1:normal,,0.99999966
10,1:normal,1:normal,,0.99999966
11,2:overtrained,2:overtrained,,0.99999966
12,2:overtrained,2:overtrained,,0.99999966
13,2:overtrained,2:overtrained,,0.99999966
14,2:overtrained,2:overtrained,,0.99999966
15,2:overtrained,2:overtrained,,0.99999966
16,2:overtrained,2:overtrained,,0.99999966
17,2:overtrained,2:overtrained,,0.99999966
18,2:overtrained,2:overtrained,,0.99999966
19,2:overtrained,2:overtrained,,0.99999966
20,2:overtrained,2:overtrained,,0.99999966
21,3:undertrained,3:undertrained,,0.99999966
22,3:undertrained,3:undertrained,,0.99999966
23,3:undertrained,3:undertrained,,0.99999966
24,3:undertrained,3:undertrained,,0.99999966
25,3:undertrained,3:undertrained,,0.99999966
26,3:undertrained,3:undertrained,,0.99999966
27,3:undertrained,3:undertrained,,0.99999966
28,3:undertrained,3:undertrained,,0.99999966
29,3:undertrained,3:undertrained,,0.99999966
30,3:undertrained,3:undertrained,,0.99999966

